title,rank,date,artist,url,region,chart,trend,streams
All I Want for Christmas Is You,199,2017-11-05,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Sweden,top200,NEW_ENTRY,14298
All I Want for Christmas Is You,167,2017-11-05,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,United Kingdom,top200,NEW_ENTRY,39238
All I Want for Christmas Is You,190,2017-12-03,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Norway,top200,MOVE_DOWN,11486
All I Want for Christmas Is You,82,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Panama,top200,MOVE_UP,1494
All I Want for Christmas Is You,84,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Philippines,top200,MOVE_UP,33999
All I Want for Christmas Is You,2,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Poland,top200,SAME_POSITION,43500
All I Want for Christmas Is You,192,2017-11-05,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,United States,top200,NEW_ENTRY,165002
All I Want for Christmas Is You,24,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Portugal,top200,MOVE_UP,10797
All I Want for Christmas Is You,54,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Singapore,top200,MOVE_UP,10225
All I Want for Christmas Is You,1,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Slovakia,top200,MOVE_UP,4733
All I Want for Christmas Is You,56,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Spain,top200,MOVE_UP,48145
All I Want for Christmas Is You,1,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Sweden,top200,MOVE_UP,249408
All I Want for Christmas Is You,171,2017-12-03,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Sweden,top200,NEW_ENTRY,22503
All I Want for Christmas Is You,191,2017-12-03,"Måns Zelmerlöw, Agnes",https://open.spotify.com/track/7pCsl8MhpMZpqZwW4OkjMS,Sweden,top200,NEW_ENTRY,20818
All I Want for Christmas Is You,5,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Switzerland,top200,MOVE_UP,20111
All I Want for Christmas Is You,62,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Taiwan,top200,MOVE_UP,5887
